group,level,seed,medium_of_exchange,emergence_turn,herfindahl_intermediates,indirect_trade_share,mean_deprivation,inventory_gini
main,,88,conchas,77,0.26051522571675967,0.08702669762998831,5.333575,0.2429854954424272
main,,89,conchas,64,0.23166022581068552,0.11247334305486484,5.3285,0.24496329813005358
main,,9,conchas,64,0.2480048505127524,0.12549619275939883,5.348285,0.24402568234325211
main,,90,conchas,64,0.23803966089825887,0.10534873175454579,5.34674,0.24508884668387299
main,,91,conchas,66,0.2406994566999697,0.1049755744526868,5.34525,0.24233707517942346
main,,92,conchas,64,0.24262983676938119,0.11415105789069137,5.350385,0.24539705241370297
main,,93,conchas,65,0.2451030093190549,0.10749447929491314,5.3683000000000005,0.24116524776511092
main,,94,conchas,64,0.24057058504089265,0.11062135814865474,5.35618,0.2436454971766516
main,,95,conchas,65,0.25062961757100927,0.10904671446371306,5.32634,0.24296160405149883
main,,96,conchas,64,0.24076806154132888,0.1070154762273982,5.361665,0.24313377251797186
main,,97,conchas,70,0.23734814463067866,0.10076465446991416,5.34261,0.24476018194496874
main,,98,conchas,52,0.24049406072429877,0.10735259098412596,5.343895,0.24246339659797914
main,,99,conchas,65,0.24181377658641975,0.11321608019351333,5.332445,0.2456425509053167
shell_sweep,0.3,0,conchas,74,0.2490178577079526,0.11114650307713482,5.357295000000001,0.2984199924748589
shell_sweep,0.3,1,conchas,73,0.2453006827028722,0.10490754786601615,5.34516,0.30012489562018857
shell_sweep,0.3,10,conchas,74,0.2401009372254101,0.11472697186982901,5.347659999999999,0.29876449257306276
shell_sweep,0.3,11,conchas,65,0.2416360681135258,0.10151394104018535,5.357329999999999,0.29283879843785526
shell_sweep,0.3,12,conchas,67,0.2516117149484924,0.11917399646649822,5.369935000000001,0.2959947969372951
shell_sweep,0.3,13,conchas,65,0.23292763233491526,0.11492927554119232,5.330815,0.29770591112358635
shell_sweep,0.3,14,conchas,64,0.2446857049150447,0.09925474396175604,5.324455,0.2976895300721991
shell_sweep,0.3,15,conchas,66,0.24300076918726418,0.09730673901528783,5.355544999999999,0.29737439774584756
shell_sweep,0.3,16,conchas,64,0.24210298872566416,0.1072952857459664,5.3532150000000005,0.2976942490791141
shell_sweep,0.3,17,conchas,64,0.2361958216496195,0.10441281223760501,5.34732,0.2949063337457889
shell_sweep,0.3,18,conchas,90,0.24303146299227962,0.10013509084659596,5.344785000000001,0.2907431263029828
shell_sweep,0.3,19,conchas,77,0.24621308725235036,0.10616863297411816,5.346545,0.2979753201002986
shell_sweep,0.3,2,conchas,64,0.24439428464168617,0.11210955909434739,5.342935,0.29817369161323776
shell_sweep,0.3,20,conchas,75,0.23905052857798262,0.11056939372833521,5.33939,0.2977550354996906
shell_sweep,0.3,21,conchas,77,0.24497298630803607,0.10256234086408277,5.344385,0.29626996381895926
